sep=,
"Time","open5gs-ue01 (10.245.1.226)","open5gs-ue02 (10.245.0.79)","open5gs-ue03 (10.245.17.232)","open5gs-ue04 (10.245.3.3)","open5gs-ue01 (8.8.8.8)","open5gs-ue02 (8.8.8.8)","open5gs-ue03 (8.8.8.8)","open5gs-ue04 (8.8.8.8)"
1704786900000,1.6135000000000002,12.701866666666666,14.050600000000001,15.650714285714287,17.592,33.16653333333334,31.80273333333333,32.35285714285715
1704786915000,1.505,13.382733333333334,9.715466666666666,16.612142857142857,17.048000000000002,30.13486666666667,27.176466666666666,33.37778571428572
1704786930000,1.6915,13.166066666666666,18.6544,13.919071428571426,16.758499999999998,27.605399999999996,34.803333333333335,26.96692857142857
1704786945000,2.269,10.250800000000002,16.2716,15.977857142857143,18.789,23.703266666666664,28.344600000000003,28.974214285714286
1704786960000,1.7915,8.731066666666667,9.292466666666666,20.018285714285714,16.587,24.437066666666663,26.711000000000002,37.96714285714285
1704786975000,1.646,9.851533333333332,21.356333333333332,27.86093333333333,17.4155,24.20666666666667,31.792,34.4204
1704786990000,6.2065,15.222833333333334,16.296874999999996,13.076611111111111,20.7195,28.285666666666668,30.5696875,28.018888888888885
1704787005000,3.664,13.861349999999998,27.1859,14.525315789473684,21.883,28.35865,40.7684,27.789157894736846
1704787020000,6.9,16.34015,28.506449999999997,17.053631578947368,19.663,30.57135,39.19195,31.63478947368421
1704787035000,2.9795,14.409450000000003,17.989150000000002,16.887611111111116,19.336,27.849650000000004,31.3385,28.434722222222224
1704787050000,1.4935,12.382749999999998,23.27475,18.56083333333333,17.233,26.603749999999998,38.14744999999999,31.982444444444447
1704787065000,4.455,13.6376,22.608950000000004,21.657222222222227,18.198999999999998,28.0012,40.660650000000004,37.76033333333333
1704787080000,3.46,10.381799999999998,22.3034,23.799555555555557,16.761499999999998,26.783800000000003,31.17235,36.18805555555555
1704787095000,3.93,16.622,23.552449999999997,18.702611111111114,19.4045,28.597450000000002,40.859500000000004,32.36694444444445
1704787110000,3.441,16.6363,18.430000000000003,21.552166666666665,17.3985,31.408050000000003,31.4913,36.15838888888888
1704787125000,5.8469999999999995,13.9736,29.834450000000004,20.77305555555556,18.417,30.9032,41.94059999999999,38.79772222222223
1704787140000,2.9074999999999998,15.582052631578948,22.1548,22.130166666666664,20.002000000000002,27.14121052631579,35.70185,39.705833333333324
1704787155000,2.4065000000000003,16.06178947368421,22.6219,14.588277777777778,18.0415,32.32089473684211,33.682700000000004,30.66572222222222
1704787170000,1.5415,14.590157894736842,33.3751,22.25761111111111,17.728,27.76042105263158,40.477199999999996,32.55394444444443
1704787185000,4.975,16.93047368421053,24.5954,17.705166666666667,22.092,32.78452631578946,36.33469999999999,39.647
1704787200000,3.2025,14.807842105263157,21.47985,17.4705,18.1495,28.303052631578954,30.617799999999995,36.983944444444454
1704787215000,1.6915,15.506789473684211,35.82415,16.51016666666667,16.83,29.53442105263158,43.7628,30.83783333333334
1704787230000,7.185499999999999,16.633368421052626,41.21785,20.744944444444442,21.448,30.139789473684207,51.8854,31.802388888888892
1704787245000,4.023,16.10357894736842,21.126099999999997,23.30722222222222,18.752499999999998,33.474947368421056,33.066900000000004,37.778777777777776
1704787260000,6.7555,13.725263157894735,21.53775,23.41761111111111,19.5405,30.114315789473682,36.64500000000001,38.400333333333336
1704787275000,2.5065,13.676684210526316,19.217749999999995,15.342111111111109,24.8245,28.35721052631579,33.742,33.19149999999999
1704787290000,5.648,13.915157894736842,22.1658,15.483222222222222,19.5405,26.595684210526315,40.29465,31.401777777777777

